institution_code,institution_name,short_name,institution_type,institution_group,address,postal_code,province_code,province_name,regency_code,regency_name,district_name,latitude,longitude,institution_status,accreditation,website,program_count,tuition_range,founding_date
213731,Sekolah Tinggi Agama Islam Pelita Nusa Bandung Barat,STAI PENUS,Sekolah Tinggi,PTA,,,32,Jawa Barat,3273,Kota Bandung,,-6.8573372,107.498559,Aktif,,https://staipelitanusa.ac.id/,3,,2021-10-07
053019,Sekolah Tinggi Ilmu Administrasi Aan,"STIA ""AAN""",Sekolah Tinggi,PTS,Blunyahrejo Karangwaru Tegalrejo,55241,34,D.I. Yogyakarta,3471,Kota Yogyakarta,Kec. Tegalrejo,-7.770327,110.366161,Aktif,Baik Sekali,www.stia-aan.ac.id,4,980.000 - 16.025.000,1979-06-07
104068,Akademi Kebidanan Dayang Suri,,Akademi,PTS,Jalan Hangtuah No 02,29318,14,Riau,,Tidak Diisi,,,,Alih Kelola,,,1,,2003-05-07
213580,Sekolah Tinggi Ekonomi dan Bisnis Islam Persatuan Ummat Islam Bogor Jawa Barat,,Sekolah Tinggi,PTA,,,32,Jawa Barat,3201,Kab. Bogor,,,,Pembinaan,,,1,,2016-12-09
014134,Akademi Keperawatan Binalita Sudama,,Akademi,PTS,Gedung PBSI V Medan Estate,20371,12,Sumatera Utara,1207,Kab. Deli Serdang,,,,Alih Bentuk,,,1,,2005-03-03
082001,IKIP Saraswati,IKIP SARASWATI,,PTS,Jalan Pahlawan No 2,82113,51,Bali,5102,Kab. Tabanan,,-8.5379791,115.1359516,Aktif,Terakreditasi,https://www.ikip-saraswati.ac.id/,7,3.190.000 - 3.190.000,1989-12-16
103080,Sekolah Tinggi Teknologi Payakumbuh,STT-PAYAKUMBUH,Sekolah Tinggi,PTS,Khatib Sulaiman,26227,13,Sumatera Barat,1376,Kota Payakumbuh,Kec. Payakumbuh Selatan,-0.2491183,100.6272061,Aktif,Baik,www.sttpyk.ac.id,3,,2005-07-18
163024,Sekolah Tinggi Manajemen Informatika dan Komputer Ichsan Gorontalo,STMIK Ichsan,Sekolah Tinggi,PTS,Jalan Raden Saleh No 17,96115,75,Gorontalo,7571,Kota Gorontalo,,0.555558,123.057075,Alih Bentuk,Baik,www.stmik-ichsan.ac.id,5,,2000-06-09
044078,Akademi Teknologi Bogor,Akatek,Akademi,PTS,Jalan Bina Marga No. 17 Bogor,16143,32,Jawa Barat,3271,Kota Bogor,Kec. Kota Bogor Timur,-6.6023333,106.8115855,Aktif,Baik,akatek-bogor.ac.id,2,4.000.000 - 4.000.000,1998-02-11
113012,Sekolah Tinggi Ilmu Ekonomi Balikpapan,STIE Balikpapan,Sekolah Tinggi,PTS,"Perkampungan Pelajar Gn Pasir , Balikpapan",76111,64,Kalimantan Timur,6471,Kota Balikpapan,,-1.252092,116.854047,Aktif,,www.stiebalikpapan.ac.id,3,1.125.000 - 7.800.000,1984-09-20
213329,"STAI Al-Furqan Makassar, Sulawesi Selatan",STAI Al Furqan MKS,,PTA,Jl.Perintis KM. 15 Daya,90241,73,Sulawesi Selatan,7371,Kota Makassar,,-5.1048869,119.5073304,Aktif,Baik,www.staialfurqanmakassar.ac.id,6,1.500.000 - 1.500.000,2008-01-30
093046,Sekolah Tinggi Ilmu Manajemen Indonesia YAPMI,STIMI YAPMI Makassar,Sekolah Tinggi,PTS,Jl Perintis Kemerdekaan KM 9,90222,73,Sulawesi Selatan,7371,Kota Makassar,,-5.141641,119.479007,Aktif,Baik Sekali,stimi-yapmi.ac.id,1,,1986-12-27
213522,Sekolah Tinggi Ilmu Tarbiyah (STIT) Islamiyah Nusa Tenggara Barat,STIT ISLAMIYAH NTB,Sekolah Tinggi,PTA,"Jln. Gondang, Karnag Jurang, Dsa.Segara Katon, Kec.Gangga",,52,Nusa Tenggara Barat,5208,Kab. Lombok Utara,,-8.32386,116.1936767,Aktif,Baik,stitintb.ac.id,1,1.200.000 - 1.200.000,2014-05-05
022007,Institut Maritim Prasetiya Mandiri,IMPM,Institut,PTS,,,18,Lampung,1871,Kota Bandar Lampung,,-5.3789616,105.2563851,Aktif,,impm.ac.id,7,3.000.000 - 6.000.000,2021-02-23
031011,Universitas Muhammadiyah Jakarta,UMJ,Universitas,PTS,"Kampus A Jl. Cempaka Putih Tengah 27, Cempaka Putih",10510,31,D.K.I. Jakarta,3171,Kota Jakarta Pusat,,-6.2991107,106.7672557,Aktif,Unggul,www.umj.ac.id,67,11.201 - 24.500.000,1955-11-18
233086,STT INTIM Makassar,,,PTA,"Jl. Baji Dakka No.7, Karang Anyar, Kec. Mamajang, Kota Makassar, Sulawesi Selat",90113,73,Sulawesi Selatan,7371,Kota Makassar,,,,Alih Bentuk,,www.sttintimlib.ac.id,3,,
041152,Universitas Muhammadiyah Bekasi Karawang,,Universitas,PTS,Kota Bekasi,,32,Jawa Barat,3275,Kota Bekasi,,,,Aktif,,,8,,2025-10-07
063121,"Sekolah Tinggi Teknologi ""Warga"" Surakarta","STT ""WARGA""",Sekolah Tinggi,PTS,,,33,Jawa Tengah,3311,Kab. Sukoharjo,,-7.5996407,110.8058953,Aktif,Baik,sttw.ac.id,5,4.750.000 - 23.725.000,2020-03-12
014175,Akademi Kebidanan Madina Husada,AKBID MADINA HUSADA,Akademi,PTS,Jl Willem Iskandar No 154-f Panyabungan Mandailing Natal,22919,12,Sumatera Utara,1213,Kab. Mandailing Natal,Kec. Panyabungan Kota,,,Aktif,Baik,Http//akbidmadinahusada.ac.id,1,1.500.000 - 5.500.000,2007-06-01
041027,Universitas Komputer Indonesia,UNIKOM,Universitas,PTS,Jalan Dipatiukur No 112-114,40132,32,Jawa Barat,3273,Kota Bandung,,-6.8872121,107.6154694,Aktif,Unggul,www.unikom.ac.id,37,450.000 - 17.585.000,2000-08-08
063053,Sekolah Tinggi Ilmu Kesehatan Hakli,,Sekolah Tinggi,PTS,Jalan Dr Ismangil 27,50148,33,Jawa Tengah,3374,Kota Semarang,,,,Aktif,Baik,www.stikeshaklismg.ac.id,7,4.800.000 - 4.800.000,2003-08-05
213420,Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Tanjung Redeb Berau,STITM Tanjung Redeb,Sekolah Tinggi,PTA,"Jl. Jend. Sudirman Kel. Bugis Tg. Redeb, Berau",77312,64,Kalimantan Timur,6403,Kab. Berau,,,,Aktif,Baik,www.stitmberkemajuan.ac.id,2,3.650.000 - 6.500.000,2003-12-03
212082,Institut Agama Islam Widya Dharma Palembang,,Institut,PTA,"Jl. Soekarno Hatta No. 234 Kelurahan Siring Agung, Kecamatan Ilir Barat I, Kota Palembang, Provinsi Sumatera Selatan",30138,16,Sumatera Selatan,1671,Kota Palembang,Kec. Ilir Barat I,,,Pembinaan,,,6,,2019-05-22
053053,Sekolah Tinggi Ilmu Kesehatan Bantul,,Sekolah Tinggi,PTS,,,34,D.I. Yogyakarta,3402,Kab. Bantul,,-7.894207,110.3523767,Aktif,Baik,www.stikesbantul.ac.id,4,800.000 - 8.000.000,2022-03-23
233396,Sekolah Tinggi Agama Kristen Sabda Holistik Malang,STAK SABDA HOLISTIK,Sekolah Tinggi,PTA,"Dusun Cemoro RT.003/RW.002 Desa Pungging, Kecamatan Tutur",67165,35,Jawa Timur,3514,Kab. Pasuruan,,,,Aktif,,https://www.staksh.ac.id/,2,4.700.000 - 4.700.000,2024-07-24
094015,Akademi Keperawatan Muhammadiyah Makassar,Akper Muhammadiyah M,Akademi,PTS,Jalan Dr Ratulangi No 101,90132,73,Sulawesi Selatan,7371,Kota Makassar,,,,Alih Bentuk,,http://akpermuhammadiyahmks.ac.id,1,,1992-06-22
134004,Akademi Sekretari Manajemen Tanah Rencong,ASM T. Rencong,Akademi,PTS,Jalan Teuku Maharaja No 16 Mon Geudong,24351,11,Aceh,1173,Kota Lhokseumawe,,,,Tutup,,www//http.asmtr/lsm.com,1,,1987-03-20
042011,Institut Manajemen Wiyata Indonesia,IMWI,Institut,PTS,Jalan Gudang No. 9 Sukabumi,43112,32,Jawa Barat,3272,Kota Sukabumi,,-6.9189128,106.9256938,Alih Bentuk,Baik,www.imwi.ac.id,6,,2014-10-16
041061,Universitas Muhammadiyah Tasikmalaya,UMTAS,Universitas,PTS,Jalan Tamansari Gobras,46196,32,Jawa Barat,3278,Kota Tasikmalaya,,-7.3702981,108.2311678,Aktif,Baik,www.umtas.ac.id,17,100.000 - 17.350.000,2014-10-17
031063,Universitas Prasetiya Mulya,Prasmul,Universitas,PTS,"Jl. RA. Kartini, Cilandak Barat",12430,31,D.K.I. Jakarta,3174,Kota Jakarta Selatan,Kec. Cilandak,-6.29129,106.78877,Aktif,Baik Sekali,www.prasetiyamulya.ac.id,13,1.000.000 - 50.000.000,1982-08-31
112011,Institut Bisnis dan Teknologi Kalimantan,IBITEK,Institut,PTS,,,63,Kalimantan Selatan,6371,Kota Banjarmasin,,-3.3011672,114.58931,Aktif,Baik Sekali,https://ibitek.ac.id/,5,,2024-10-17
094108,Akademi Kesehatan Gigi Kendari,,Akademi,PTS,Jalan Asrama Haji No 17,93117,74,Sulawesi Tenggara,7471,Kota Kendari,Kec. Baruga,,,Alih Bentuk,,,1,,2007-09-03
064126,Akademi Keperawatan Krida Husada,,Akademi,PTS,Jalan lambao Singocandi No 1,12345,33,Jawa Tengah,3319,Kab. Kudus,,,,Alih Bentuk,,akperkridahusada.ac.id,1,,1995-08-14
233284,Sekolah Tinggi Teologi Sabda Agung (STTSA),STT Sabda Agung,Sekolah Tinggi,PTA,,,35,Jawa Timur,3578,Kota Surabaya,,-7.324619,112.689094,Aktif,Baik,https://sttsabdaagung.ac.id,2,,2013-05-07
071116,Universitas Annuqayah,UA,Universitas,PTS,,,35,Jawa Timur,3529,Kab. Sumenep,,-7.06434,113.6745,Aktif,Baik,www.ua.ac.id,12,950.000 - 6.500.000,2023-12-20
064013,Akademi Bahasa Asing St Pignatelli,ABA Pignatelli,Akademi,PTS,Karangasem Laweyan Po Box 227,57101,33,Jawa Tengah,3372,Kota Surakarta,,-7.553508,110.777284,Alih Bentuk,,www.abapignatelli.ac.id,1,,1968-01-16
022018,Institut Citra Internasional,ICI,Institut,PTS,,,19,Bangka Belitung,,Kota Pangkalpinang,,-2.1206046,106.0957787,Aktif,Baik,www.ici.ac.id,6,2.400.000 - 17.950.000,2023-06-06
033159,STKIP Suluh Bangsa,,,PTS,Gedung D YAN Jl. Legoso Raya No. 31 Ciputat,15419,36,Banten,3674,Kota tangerang Selatan,Kec. Ciputat,,,Tutup,,,1,,2001-08-15
243009,Sekolah Tinggi Agama Hindu Bhatara Guru Kendari Sulawesi Tenggara,STAH BGK,Sekolah Tinggi,PTA,Jln. Cempaka Putih Nomor: 19 Kendari Sulawesi tenggara,93117,74,Sulawesi Tenggara,7471,Kota Kendari,,,,Aktif,Baik,stahbgk.ac.id,3,1.000.000 - 1.000.000,2017-09-14
001045,Universitas Papua,UNIPA,Universitas,PTN,"Jl Gunung Salju, Amban Manokwari",98314,92,Papua Barat,9202,Kab. Manokwari,Kec. Manokwari Barat,-0.83426,134.07014,Aktif,Baik Sekali,https://bpak.unipa.ac.id/,67,,2000-11-03
203020,STAIN Zawiyah Cot Kala Langsa,STAIN ZAWIYAH COT KA,,PTA,Jl Meurandeh Kota Langsa,24411,11,Aceh,1174,Kota Langsa,,,,Aktif,,www.stainlangsa.ac.id,16,,2001-01-01
233399,Sekolah Tinggi Teologi Harapan Baru Medan,STT HBM,Sekolah Tinggi,PTA,Jalan Helvetia By Pass Kapten Sumarsono Aronta Nomor 79 Kecamatan Sunggal,20124,12,Sumatera Utara,1207,Kab. Deli Serdang,,,,Aktif,,www.stthbi.ac.id,2,,2025-01-30
213562,Sekolah Tinggi Ilmu Ekonomi Syariah Nahdlatul Ulama Bengkulu,STIESNU BENGKULU,Sekolah Tinggi,PTA,,,17,Bengkulu,1771,Kota Bengkulu,,-3.846857,102.328555,Aktif,Baik Sekali,stiesnu-bengkulu.ac.id,4,2.500.000 - 2.500.000,2016-02-01
123046,Sekolah Tinggi Ilmu Administrasi Said Perintah,STIA SP,Sekolah Tinggi,PTS,Jalan Nuri,97511,81,Maluku,8101,Kab. Maluku Tengah,Kec. Masohi,-3.305966,128.969487,Alih Bentuk,,www.stiasaidperintah.masohi.ac.id,2,,2005-03-18
064158,Akademi Farmasi 17 Agustus 1945 Semarang,AKFAR 17-08-1945,Akademi,PTS,Jln. Jendral Sudirman No. 350 Semarang - Jawa Tengah,50149,33,Jawa Tengah,3374,Kota Semarang,Kec. Semarang Barat,-6.9839025,110.3882714,Alih Bentuk,Baik,www.akfar17smg.ac.id,1,3.750.000 - 30.750.000,2011-12-07
083080,STMIK Primakara,Primakara,,PTS,"Jalan Tukad Badung No. 135, Renon",80226,51,Bali,5171,Kota Denpasar,,-8.6893593,115.23789,Alih Bentuk,Baik,www.primakara.ac.id,4,,2013-09-27
054002,Akademi Kesejahteraan Sosial Tarakanita,,Akademi,PTS,Jalan Tantular Pringwulung Condongcatur,55012,34,D.I. Yogyakarta,,Tidak Diisi,,,,Tutup,,,2,,1952-07-07
053033,Sekolah Tinggi Ilmu Kesehatan Aisyiyah Yogyakarta,STIKES 'Aisyiyah Yog,Sekolah Tinggi,PTS,Jalan Ring Road Barat No. 63 Mlangi Nogotirto Gamping Sleman DIY,55292,34,D.I. Yogyakarta,3404,Kab. Sleman,Kec. Gamping,,,Alih Bentuk,,www.stikesaisyiyah.ac.id,6,,2003-10-14
045071,Politeknik Prasetiya Mandiri,,Politeknik,PTS,,,32,Jawa Barat,3271,Kota Bogor,,-6.6016198,106.8122533,Aktif,Baik,https://prasetiyamandiri.ac.id/,13,4.000.000 - 5.000.000,2023-11-06
053048,Sekolah Tinggi Ilmu Kesehatan Notokusumo Yogyakarta,,Sekolah Tinggi,PTS,Kampus I : Jl. masjid PA No 5 Yogyakarta Kampus II : Jl. Bener No 26 Tegalrejo,,34,D.I. Yogyakarta,3471,Kota Yogyakarta,Kec. Tegalrejo,-7.779166,110.352591,Aktif,Baik Sekali,www.stikes-notokusumo.ac.id,4,500.000 - 7.450.000,2019-08-20
014126,Akademi Informatika Dan Komputer Medicom,AMIK MEDICOM,Akademi,PTS,Jalan Bantam No 12,20231,12,Sumatera Utara,1271,Kota Medan,Kec. Medan Deli,3.5762057,98.6621848,Aktif,Baik,www.medicom.ac.id,3,6.500.000 - 8.000.000,2003-01-17
041093,Universitas Indonesia Membangun,Universitas Inaba,Universitas,PTS,,,32,Jawa Barat,3273,Kota Bandung,,-6.9499292,107.6228552,Aktif,B,https://inaba.ac.id/,10,50.000 - 11.150.000,2021-04-09
213123,Sekolah Tinggi Agama Islam Pangeran Dharma Kusuma Segeran Indramayu,STAIS DHARMA,Sekolah Tinggi,PTA,Jl. KH. Hasyim Asy'ari No. 1/1 Segeran Kidul Juntinyuat Indramayu Jawa Barat,45282,32,Jawa Barat,3212,Kab. Indramayu,,-6.4714899,108.4025786,Alih Bentuk,,http://staisdharma.ac.id/,5,,2003-11-20
064089,Akademi Kebidanan Karsa Mulia,Akbid Karsa Mulia,Akademi,PTS,Jalan Sambiroto Raya No 64 D,50276,33,Jawa Tengah,3374,Kota Semarang,,,,Tutup,,www.akbidkarsamulia.org,1,,2003-05-07
141015,Universitas Werisar,UNSAR,Universitas,PTS,,,92,Papua Barat,,Kab. Sorong Selatan,,-1.2092679,132.1531102,Aktif,Baik,unsar.ac.id,5,2.600.000 - 2.600.000,2022-01-27
024040,Akd Teknik Radiodiag. Dan Radioterapi Widya Dharma,,,PTS,"Jl Kol H Burlian No 7 Km 6,5",30153,16,Sumatera Selatan,1671,Kota Palembang,,,,Alih Bentuk,,,1,,1997-08-28
463001,Sekolah Tinggi Sandi Negara,STSN / POLTEK SSN,Sekolah Tinggi,PTKL,"Kompleks Bumi Sanapati Jalan Raya Haji USA, Ciseeng, Bogor",16120,32,Jawa Barat,3201,Kab. Bogor,,-6.4567654,106.6685343,Alih Bentuk,,https://poltekssn.ac.id,5,,
213331,Sekolah Tinggi Agama Islam Al Gazali Barru,STAI Al Gazali Barru,Sekolah Tinggi,PTA,Jl. Sultan Hasanuddin No. 65 (Kompleks Masjid Besar Nurul Ittihad Pekkae) Kecama,90761,73,Sulawesi Selatan,7311,Kab. Barru,Kec. Tanete Rilau,,,Aktif,Baik,.................,1,,1996-04-30
041033,Universitas Pamulang,UNPAM,Universitas,PTS,"Jalan Suryakencana No 1 Pamulang, Kota Tangerang Selatan Provinsi Banten",15417,36,Banten,3674,Kota tangerang Selatan,,-6.3445179,106.737299,Aktif,Baik Sekali,www.unpam.ac.id,43,2.400.000 - 4.900.000,2000-05-15
053036,Sekolah Tinggi Ilmu Kesehatan Alma Ata Yogyakarta,Stikes Alma Ata Yogy,Sekolah Tinggi,PTS,Jalan Ringroad Barat Daya No 1 Tamantirto,55011,34,D.I. Yogyakarta,3402,Kab. Bantul,Kec. Kasihan,,,Alih Bentuk,,www.almaata.ac.id,4,,2006-06-29
014173,Akademi Kebidanan Namira Madina Panyabungan,AKADEMI KEBIDANAN NA,Akademi,PTS,Jl BHAYANGKARA NO. 125 GUNUNG TUA LUMBAN PASIR. PANYABUNGAN,22918,12,Sumatera Utara,1213,Kab. Mandailing Natal,Kec. Panyabungan Kota,,,Alih Bentuk,,www.akbid-namiramadina.ac.id,1,,2007-06-14
141017,Universitas Doktor Husni Ingratubun Papua,Uningrat Papua,Universitas,PTS,,,91,Papua,9171,Kota Jayapura,,-2.6003775,140.6764126,Aktif,B,www.uningratpapua.ac.id,9,3.000.000 - 3.000.000,2023-03-08
213791,Sekolah Tinggi Ilmu Tarbiyah Al Wafi Bogor,,Sekolah Tinggi,PTA,"Jalan Raya Arco Nomor 1 RT. 002/RW. 01 Desa Citayam, Kecamatan Tajurhalang",16320,32,Jawa Barat,3201,Kab. Bogor,,,,Aktif,,,1,,2024-10-18
014056,Akademi Kebidanan Imelda,,Akademi,PTS,Jalan Bilal No 24,20239,12,Sumatera Utara,1271,Kota Medan,Kec. Medan Timur,,,Alih Bentuk,,,1,,2002-05-13
133007,Sekolah Tinggi Teknik Iskandar Thani,STTIT,Sekolah Tinggi,PTS,Jl. Alue Naga Desa Tibang Banda Aceh,12345,11,Aceh,1171,Kota Banda Aceh,,,,Aktif,Baik,sttit.ac.id,3,2.400.000 - 30.000.000,1987-04-27
153036,Sekolah Tinggi Ilmu Kesehatan St. Elisabeth Keuskupan Maumere,STIKES ELMA,Sekolah Tinggi,PTS,,,53,Nusa Tenggara Timur,5307,Kab. Sikka,,-8.6217457,122.2140513,Aktif,Baik Sekali,https://stikes-kum.ac.id/,3,,2024-07-29
103095,Sekolah Tinggi Ilmu Kesehatan Ibnu Sina Batam,STIKes Ibnu Sina Bat,Sekolah Tinggi,PTS,Jln. Teuku Umar Lubuk Baja Kota Pelita Kota Batam,29432,21,Kepulauan Riau,2171,Kota Batam,,1.1454888,104.013418,Alih Bentuk,,http://www.stikesibnusinabatam.com,2,,2008-06-19
173159,Sekolah Tinggi Ilmu Kesehatan Husada Gemilang,STIKES HUGE,Sekolah Tinggi,,,,14,Riau,1404,Kab. Indragiri Hilir,,-0.304261,103.1702045,Aktif,Baik,husadagemilang.ac.id,2,4.500.000 - 5.400.000,2021-07-19
084024,Akademi Keperawatan Samawa,Akper Samawa,Akademi,PTS,Jalan Garuda No 104 Samawa,84381,52,Nusa Tenggara Barat,5204,Kab. Sumbawa,,-8.521664,117.43089,Alih Bentuk,,www.akpersamawa.com,1,,2004-11-01
043241,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Bekasi,STISIP BEKASI,Sekolah Tinggi,PTS,Jl Narogong Siliwangi No 1 KM.9 Kel /Kec.Bantargebang Kota Bekasi,17151,32,Jawa Barat,3275,Kota Bekasi,,-4.4904947,114.690343,Tutup,,,2,,2004-03-01
042016,Institut Bisnis Dan Informatika Kesatuan,IBI Kesatuan,Institut,PTS,"Jl. Rangga Gading No.1, Gudang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat",16123,32,Jawa Barat,3271,Kota Bogor,,-6.606328,106.799225,Aktif,B,http://www.ibik.ac.id,14,,2019-08-23
213175,STAI Bani Saleh Bekasi,STAI BANI SALEH,,PTA,Jl. M. Hasibuan No.68 Bekasi Timur,17113,32,Jawa Barat,3275,Kota Bekasi,,,,Aktif,Baik,www.stai.banisaleh.ac.id,3,,2002-08-19
013053,Sekolah Tinggi Pertanian Gunung Leuser,,Sekolah Tinggi,PTS,Jalan Iskandarmuda No 01,24651,11,Aceh,1102,Kab. Aceh Tenggara,Kec. Lueser,,,Tutup,,,1,,1993-09-23
233241,Sekolah Tinggi Teologi Istto Hikmat Wahyu,,Sekolah Tinggi,PTA,,,71,Sulawesi Utara,7102,Kab. Minahasa,,,,Aktif,,,2,,
094050,Akademi Keperawatan Yapenas 21 Maros,YAPENAS MAROS,Akademi,PTS,Jl Perintis Kemerdekaan KM 19 Mandai,90552,73,Sulawesi Selatan,7309,Kab. Maros,,-6.1968492,120.4471789,Aktif,Baik,http://akper.yapenas21maros.ac.id,1,2.750.000 - 2.750.000,2001-09-24
045018,Politeknik Praktisi Bandung,Poltek Praktisi,Politeknik,PTS,Jalan Merdeka No. 46,40117,32,Jawa Barat,3273,Kota Bandung,,,,Aktif,Baik,www.praktisi.ac.id,3,1.200.000 - 7.200.000,2002-09-04
002010,Institut Seni Budaya Indonesia Bandung,ISBI Bandung,Institut,PTN,Jalan Buahbatu No. 212 Bandung,40265,32,Jawa Barat,3273,Kota Bandung,,-6.942727,107.62753,Aktif,Baik Sekali,www.isbi.ac.id,18,500.000 - 7.500.000,1995-08-25
212003,Institut Agama Islam Latifah Mubarokiyah (IAILM) Suryalaya Tasikmalaya,IAILM Suryalaya,Institut,PTA,"Ds. Tanjungkerta, Kec. Pagerageung",46158,32,Jawa Barat,3206,Kab. Tasikmalaya,,-7.1240217,108.2139051,Aktif,Baik,iailm.ac.id,9,280.000 - 8.510.000,
035013,Politeknik Orang Tua,,Politeknik,PTS,,,31,D.K.I. Jakarta,3173,Kota Jakarta Barat,,,,Tutup,,,3,,2016-08-31
015024,Politeknik Adiguna Maritim Indonesia Medan,Poltek AMI Medan,Politeknik,PTS,"Jalan Brigjend. Bejo. d/h Pertempuran No.125, Pulo Brayan Kota",,12,Sumatera Utara,1271,Kota Medan,Kec. Medan Barat,5.1797153,112.8885852,Aktif,Baik Sekali,http://poltek-amimedan.ac.id,3,,2020-02-18
064169,Akademi Akuntansi Bima Sakapenta,AKUBISA,Akademi,PTS,,,33,Jawa Tengah,3376,Kota Tegal,,-6.881823,109.1199312,Alih Bentuk,Baik,www.akubisa.ac.id,1,2.450 - 2.450.000,2023-05-31
233170,Sekolah Tinggi Teologi Tabernakel Lawang,,Sekolah Tinggi,PTA,"Jl. Ov. Slamet Riyadi 39, P.O. Box 101, Lawang Jawa Timur - Indonesia",65201,35,Jawa Timur,3507,Kab. Malang,Kec. Lawang,-7.8328778,112.6912569,Aktif,Baik,www.stttabernakel.ac.id,4,,
065018,Politeknik Stibisnis,Politeknik STiBISNIS,Politeknik,PTS,Jalan Arif Rahman Hakim no.71 Kelurahan Mangkukusuma Kecamatan Tegal Timur,52123,33,Jawa Tengah,3376,Kota Tegal,,-6.8741245,109.1364241,Aktif,,www.politeknikstibisnis.ac.id,5,,1996-03-28
045021,Politeknik Mitra Kusuma,,Politeknik,PTS,Jalan Ir H Juanda No 81,17111,32,Jawa Barat,3275,Kota Bekasi,,,,Tutup,,,3,,2002-12-30
213507,STAI Tuanku Tambusai,STAI Tuanku Tambusai,,PTA,Jl. Riau No. 02 Kelurahan Pasir Pengaraian Kecamatan Rambah Kabupaten Rokan Hulu,28557,14,Riau,1406,Kab. Rokan Hulu,,0.861032,100.2898391,Aktif,Baik,staituankutambusai.ac.id,5,2.250.000 - 2.250.000,2002-09-20
042006,Institut Teknologi Harapan Bangsa,ITHB,Institut,PTS,Jalan Dipatiukur No 80-84,40132,32,Jawa Barat,3273,Kota Bandung,,,,Aktif,Baik Sekali,www.ithb.ac.id,8,1.450.000 - 16.950.000,2002-05-17
033185,Sekolah Tinggi Pariwisata Pelita Harapan,,Sekolah Tinggi,PTS,Jalan Moh Husni Thamrin Lippo Karawaci,15811,36,Banten,3671,Kota Tangerang,Kec. Karawaci,,,Alih Bentuk,,www.uph.edu,5,,1993-12-13
134008,Akademi Keuangan Perbankan Nusantara,AKUBANK NUSANTARA,Akademi,PTS,Jl Medan Banda Aceh IDI KABUPATEN ACEH TIMUR,23000,11,Aceh,1103,Kab. Aceh Timur,,4.8347544,97.8858662,Aktif,Baik,www.akubank-nusantara.ac.id,1,1.000.000 - 2.400.000,1993-07-12
